restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
75,Rodriguez-Ramsey,Italian,North Mark,Emily Thompson,21,(338)742-7182x2834,2.6,65,False
76,Powell-Weber,Chinese,Millerfurt,Joseph Noble,25,653-971-8162x564,4.5,55,False
77,Peters PLC,Italian,Lake Carrie,Gwendolyn Dennis,40,842-814-3240x3646,3.8,94,False
78,Shaw-Kelly,Italian,New Desireechester,Ashley Johnson,55,682-431-8173x957,3.3,82,True
79,Davis-Bass,Indian,Shanehaven,Brandon Murillo,47,2205331545,1.9,63,True
80,"Smith, Gomez and Johnson",Indian,Stephaniemouth,Dr. Jamie Guerra MD,41,789.603.2396x4774,3.9,76,True
81,Myers Group,Indian,Hoffmanview,Robert Allen,41,+1-582-826-7556x274,1.2,54,False
82,Miller Inc,Indian,Julieport,Carol Chapman,47,613.784.6484x827,2.4,81,False
83,"Williams, Martinez and Sullivan",Mexican,Lake Cynthiaville,Juan Foster,55,+1-714-357-1437x8660,1.0,60,True
84,"Lopez, Allen and Barrett",Indian,Adamsstad,Michelle Harris,40,001-927-983-0964x3288,3.3,64,False
85,"Horton, Martinez and Miller",Indian,Joyceborough,Raymond Ortiz,44,001-819-878-9678x0871,3.3,79,False
86,Parker-Brown,Japanese,Lake Kenneth,Megan Matthews,33,570-559-7944x8114,3.3,83,True
87,"Dixon, Valenzuela and Hogan",Mexican,New Davidtown,Catherine Dixon,20,001-396-491-5950x9053,4.1,73,True
88,Hudson-Shah,Mexican,Spencerchester,Kenneth Chavez,21,729.557.7430,2.6,96,False
89,"Hayden, Rios and Dawson",Italian,Kurtmouth,Paul Decker,59,562-661-6230,4.6,51,True
90,Stanley-Cohen,Mexican,East Sarah,Travis Rivera,29,7135448743,3.4,53,False
91,Evans-Church,Mexican,Cynthiachester,Jason Johnson,38,884-755-2890,2.2,74,True
92,Taylor and Sons,Italian,Markberg,Jeffrey West,41,001-914-258-4626,4.4,60,False
93,Smith and Sons,Italian,Katherinebury,Angela Fields,58,613.992.8924x881,1.7,94,True
94,Carr PLC,Italian,Port Melissa,Heather Wright,23,758.331.1070x459,2.7,72,False
95,"Hernandez, Bush and Williams",Japanese,East Catherine,Heather Jackson,29,(472)415-5528,3.9,60,True
96,"Mendoza, Wright and Jackson",Mexican,South Johnland,Jill Bernard,43,001-492-724-6868x5817,3.6,78,False
97,"Strong, Harris and Turner",Chinese,New Becky,Eric Hines,20,(945)548-8065,3.6,50,True
98,Stark-Bennett,Chinese,North Aaronton,Jennifer Miles,60,287-349-2481x9833,3.5,80,False
99,Robertson Group,Japanese,North Ronaldborough,Rebecca Moore,40,001-323-770-2097x40734,3.1,70,False
100,"Arias, Olson and Henderson",Indian,Lake Shannonstad,Olivia Wade,22,+1-701-249-1888,2.4,72,True
