customer_id,name,email,phone,address,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
20,Stacy Gordon,davisstephanie@example.com,(726)330-0442x329,"499 Julia Squares Apt. 522
Sabrinaburgh, FM 13636",2020-04-24,False,Italian,64,2.8
21,Jody Little,brownsteven@example.org,+1-504-258-3370x7675,"0270 George Spurs
Jacksonside, ME 19827",2022-09-06,True,Italian,2,1.8
22,Rhonda Ryan,wayne02@example.org,+1-256-782-2617,"50048 Traci Turnpike Suite 204
Anthonyton, CO 22902",2024-07-10,False,Italian,48,4.6
23,Lisa Simmons,brentgiles@example.com,+1-209-503-6845,"16287 Kirk Way
North Reginaldtown, HI 34534",2024-10-05,True,Mexican,57,3.9
24,Laura Pruitt,fwillis@example.org,+1-641-321-0686x407,"3397 Haynes Crest
Lake Pamelaborough, OH 78883",2024-12-01,False,Chinese,60,1.6
25,Pamela Harper,tracy83@example.com,511.549.4755,"801 Barbara Points Apt. 695
Gardnerport, SD 72774",2024-03-26,True,Italian,71,4.6
26,Michael Frederick,anaarnold@example.net,001-214-504-0740x655,"213 Davidson Point
Andrewsbury, ND 89311",2022-03-28,True,Chinese,46,2.1
27,Ebony Green,wongtravis@example.org,4097476980,"3458 Brandon Estates
Reynoldsberg, MT 79004",2021-07-03,False,Italian,80,1.3
28,Kimberly Carroll,sherylmeyer@example.net,541.703.5015x699,"76831 Scott Center Apt. 307
Currymouth, NE 24585",2021-06-23,False,Italian,42,1.3
29,Mark Aguirre,frederick84@example.net,(597)352-1272x9754,"56812 Robert Square
Jacobsonmouth, CA 86173",2023-10-13,False,Mexican,10,3.2
30,Ian Morgan,tammymiller@example.net,(375)789-5027x177,"899 Poole Court Suite 857
Port Kathleen, MN 90135",2021-08-29,True,Indian,31,2.0
31,Austin Rangel,williamsbrandon@example.net,296-326-5725,"627 Davis Key Apt. 884
Ashleyton, DE 66336",2024-06-29,True,Chinese,25,2.1
32,Audrey Deleon,nevans@example.org,836-809-7346,"648 James Mountain Suite 178
Adamborough, MP 70571",2023-12-17,False,Japanese,92,3.8
33,Jeremy Snyder,kristen60@example.org,872-970-1808,"18210 Andrew Roads Suite 506
Whitetown, OH 40435",2021-05-20,False,Japanese,95,1.7
34,Karen Taylor,rodriguezryan@example.net,528.727.6407x90591,"443 Wilson Heights Suite 328
New Cindy, OR 10495",2024-03-22,True,Chinese,26,2.5
35,William Mcdonald,valeriejenkins@example.org,626-445-7657x72193,"67332 Stephanie Courts Suite 397
Port David, VA 79890",2025-01-12,False,Chinese,18,1.0
36,Travis Holland,cgray@example.com,7528928366,"9083 Moore Knolls Suite 814
North Joshuafurt, AK 80897",2024-09-10,True,Japanese,36,2.0
37,John Camacho,eduardoross@example.org,001-757-966-9387x30053,"277 Conner Forges Suite 785
Sarahshire, SD 68542",2023-04-02,False,Mexican,97,2.1
38,Jacqueline Guerra DDS,yrodriguez@example.org,862.893.9487,"429 Jasmine Avenue Apt. 070
South Victorville, MO 60931",2024-03-20,False,Mexican,27,3.8
39,Joseph Wright,keithallen@example.org,522-433-2844x3088,"93544 Christopher Estates
Hernandezburgh, HI 25463",2022-03-16,True,Indian,81,3.1
40,Diane Ellison,smithjason@example.org,(661)796-3181x3615,"PSC 3857, Box 9363
APO AP 79303",2023-07-11,True,Chinese,93,3.1
41,Scott Henderson,rbradley@example.org,4784759819,"77411 Harding Square
Lake Dannyfurt, AK 79136",2020-07-10,False,Indian,64,4.3
42,Jordan Huerta,audrey22@example.org,9712265604,"82564 Thomas Plain Apt. 998
Stephanieview, IN 54053",2023-09-19,False,Italian,54,1.4
43,Jack Matthews,lucasgarrett@example.org,619-377-2653x97247,"9630 Kevin Rapid Suite 975
West Matthewfort, IA 79006",2020-08-27,False,Japanese,35,3.2
44,Michael Quinn,frank41@example.org,493-749-8658,"5384 William Loop Suite 108
North Keithburgh, NJ 63778",2024-03-01,True,Chinese,41,1.7
45,Shelia Hoover,nrichard@example.com,903-950-3104,"263 Diaz Lodge
Milesbury, MO 16804",2021-01-31,False,Japanese,58,1.9
46,Tamara Mccoy,elizabeth09@example.com,(486)455-4451,"45067 Erica Avenue Apt. 992
Lake Kristinland, WY 35521",2024-03-17,True,Italian,100,4.0
47,Brent Goodwin,smithkimberly@example.org,920-991-5241x35183,"447 Amy Locks
Lake Richardmouth, OR 15715",2024-08-05,True,Japanese,14,2.7
48,Melvin Gentry,chelsearodriguez@example.net,479-455-7849x20913,"402 Matthew Shores Apt. 015
South Brandonmouth, NV 37906",2020-10-03,False,Indian,97,2.5
49,Martha Hamilton,arielcole@example.com,(255)577-3273,"9501 Kelly Crossroad Suite 438
New Georgefort, FM 70133",2023-01-23,False,Indian,71,2.4
50,Dr. Carl Chambers,dtucker@example.com,001-248-337-1338x998,"513 Kevin Stream
New Joshua, MT 74593",2022-04-29,True,Indian,76,3.8
51,Kendra Sanchez,rmoss@example.org,384-753-4079x86611,"35332 Nancy Passage Apt. 346
New Charlesland, KS 33798",2020-09-03,True,Indian,29,2.8
52,Matthew Rodgers,jmcdonald@example.com,351-226-0188x4702,"91983 Pace Mountain Suite 767
Kimberlychester, PA 80601",2024-11-21,True,Indian,71,2.9
53,John Lopez,jessicaleonard@example.com,(976)471-2085,"593 Hernandez Ford
New Rachelchester, NM 67500",2020-08-14,True,Japanese,29,3.2
54,Kimberly Conley,gutierrezkendra@example.org,(902)993-6469,"PSC 3725, Box 3436
APO AP 85531",2021-07-27,False,Mexican,53,5.0
55,Edward Fletcher,berryallen@example.org,(625)592-9831x19971,"908 Crystal Drive Apt. 134
Johnville, AK 48991",2021-08-22,True,Indian,26,3.5
56,Seth Graham,kburnett@example.org,001-848-619-1427x6194,"73774 Turner Shoals
Haroldville, WY 12623",2023-09-16,True,Mexican,87,4.6
57,Angel Campbell,daniellestewart@example.net,001-677-956-6050x5779,"086 Justin Crescent Suite 995
East Jon, MO 90341",2022-02-01,False,Chinese,99,1.5
58,Kenneth Velez,tracy87@example.org,001-693-473-5072x4141,"228 Veronica Stream
West Bethany, UT 68896",2022-08-02,True,Japanese,75,2.2
59,Harold Odom,erivera@example.com,001-458-930-9551x04889,"29024 Rivera Prairie
East Joshuafort, MP 53942",2021-03-26,False,Chinese,59,2.5
60,Kelly Chang,angelarogers@example.net,001-876-869-7825,"PSC 5654, Box 0507
APO AA 65197",2021-09-14,True,Japanese,91,1.1
61,Joshua Harris,crivera@example.org,(537)681-0717x053,"23573 Leach Spur Apt. 778
West Roberthaven, IA 52855",2024-10-27,False,Indian,28,5.0
62,Natasha Wilson,francisco40@example.net,969.540.3079x58486,"755 Anderson Mill
Lake Sandrabury, KS 32154",2024-07-05,True,Indian,3,1.5
63,Charlotte Bowman,owhite@example.org,(659)585-6928x00952,"238 Dylan Oval Apt. 813
Pattersonmouth, VT 70438",2024-02-06,True,Italian,3,1.7
64,Meghan Everett,cramos@example.net,(463)273-3992x120,"64014 Phillips Dale Apt. 428
Christopherfurt, WI 99009",2022-06-05,True,Italian,88,3.6
65,Raymond James,cgomez@example.org,(369)902-0082,"808 Foster Gateway
Reynoldstown, MI 20844",2023-08-11,False,Indian,86,3.7
66,Nathaniel Tucker,christiantownsend@example.org,(931)255-0919,"0635 Shirley Terrace Suite 657
New Colechester, WA 52169",2024-01-10,False,Japanese,96,2.2
67,Diana Richardson,williamsamanda@example.com,511-894-3316x6479,"68293 Rice Turnpike
Dylanborough, AR 57677",2023-05-18,True,Chinese,43,4.5
68,Alexis Gilbert,daniellewilliams@example.org,(596)392-4754,"PSC 7895, Box 1631
APO AE 93341",2021-10-19,True,Mexican,93,2.2
69,Christopher Adams,jeffreynorton@example.net,7608943046,"603 Denise Ville
Hinesmouth, IL 59359",2024-10-18,True,Italian,13,4.9
70,Betty Webb,johnsonjessica@example.net,+1-477-658-7834,"1017 Garrett Plain Apt. 642
Lindseyhaven, AR 31474",2023-02-03,False,Mexican,18,4.6
71,Richard Perkins,timothy94@example.com,842.474.0714,"06445 Franklin Grove Apt. 279
Lake Katherine, MN 01936",2023-10-27,True,Japanese,31,1.1
72,John Goodwin,ccollins@example.com,632.378.9809x949,"25909 Macias Trafficway Apt. 269
New Toddport, TN 40010",2021-03-23,False,Mexican,90,4.2
73,Isaac Dennis,brookeboyd@example.com,297-953-1961x2780,"07141 Keith Row
New Robert, MA 71669",2020-11-08,False,Japanese,98,1.5
74,Tara Potter,jerryedwards@example.net,+1-469-848-5679,"57729 Monroe Harbor Apt. 241
North Calvinside, VI 95381",2022-08-02,True,Mexican,100,4.0
75,Anthony Thomas,ucombs@example.org,001-294-908-6469,"526 Mitchell Extensions Apt. 833
West Peter, ID 41321",2022-12-08,False,Italian,37,1.5
76,Jennifer Lopez,garyferguson@example.org,538-648-9910x312,"2805 Barrett Corner Apt. 417
West Valeriefort, NJ 33150",2023-11-16,True,Italian,94,1.9
77,Angela Dunlap DDS,kbaker@example.com,436.615.5345x30792,"744 Jackson Mountains Apt. 114
New Stephaniechester, HI 93250",2021-07-15,False,Mexican,2,2.8
78,Robert Brooks,emma68@example.com,7213090179,"648 Hansen Track
Tracichester, WA 36135",2020-03-04,True,Italian,83,3.3
79,Allison West,daniellejensen@example.com,001-944-596-9357x98300,"810 Smith Extensions
Bobbyton, CT 43547",2020-09-20,True,Italian,78,4.6
80,Brian Lopez,smithlynn@example.net,(634)368-1706x5102,"6478 Parker Points Apt. 525
East Ronald, NJ 53708",2020-10-09,False,Chinese,70,2.8
81,Nicholas Martin,abaker@example.net,(542)258-7333,"0362 Cobb Lights
West Jefferyside, MH 43887",2022-10-14,False,Italian,18,3.8
82,Katherine Knox,stephen22@example.com,730.950.1273x6082,"USS Moore
FPO AE 36853",2022-08-17,True,Indian,66,1.9
83,Kristen Hicks,adam96@example.net,510.345.5599x567,"8848 Robertson Cliffs
South Marcus, MP 54951",2023-01-30,True,Indian,48,2.7
84,Joshua Horn,amanda36@example.com,001-396-433-5378x302,"558 Joseph Grove Apt. 035
Washingtonland, NJ 17150",2021-11-14,False,Mexican,44,3.5
85,Rebecca Bates,amandamorrow@example.com,242.260.6247,"529 William Rapids
East Davidside, NV 92245",2022-09-20,False,Italian,2,2.4
86,Megan Brown,michaelsavage@example.net,215-563-8155,"151 Kelli Tunnel
North Danielleshire, OH 89016",2020-01-17,True,Indian,41,2.3
87,Cheryl King,oreed@example.net,872.869.1000,"9008 Bryan Cove
Port Ashley, MT 07781",2022-02-15,False,Indian,73,1.1
88,Melissa Davis,michelle30@example.com,991.361.0293x91676,"922 Stephanie Route Apt. 859
South Toddfurt, OR 77372",2020-05-05,False,Chinese,9,2.4
89,Jason Abbott,mary33@example.com,001-726-536-8772x2461,"36217 Patrick Passage Suite 299
East Ianmouth, DE 18959",2022-11-17,True,Mexican,81,1.0
90,Jason Jones,david67@example.net,001-626-358-2336,"765 Hudson Hill
Laurenborough, DC 40482",2024-09-05,False,Chinese,70,2.8
91,Catherine Harrell,murrayamber@example.net,545.809.4231x00879,"USCGC Miller
FPO AP 17382",2022-08-07,False,Mexican,39,2.7
92,Michael Sullivan,vicki36@example.com,(367)318-6104,"3567 Carlos Parkways
Port Travisside, UT 30646",2023-09-16,True,Japanese,48,4.0
93,Tyrone Bell,matthew62@example.net,3754223097,"002 Karen Light Apt. 358
North Haley, MD 40505",2021-01-30,False,Japanese,44,2.0
94,Mark Smith,sean35@example.com,+1-503-462-9377,"21751 Sarah Brook
Lindsayburgh, SD 35738",2024-07-01,True,Chinese,9,3.1
95,April Young,brandonprince@example.org,946.448.6991x37081,"185 Andrew Mountain
Leonardtown, CA 26676",2022-04-09,False,Italian,20,3.3
96,Albert King,gerald29@example.net,(302)931-3295,"026 Mclaughlin Corner Apt. 690
Kristenmouth, AS 22927",2023-11-20,False,Indian,78,2.9
97,Samantha Coleman,bradleyyoung@example.net,001-813-235-3008,"546 Denise Lane
Randallview, HI 49917",2021-08-11,False,Indian,30,2.9
98,Mr. Benjamin Miller,ashleybarnes@example.net,554.920.7016,"734 Danielle Islands
East Ryan, WI 22692",2020-02-04,False,Indian,58,3.8
99,Karen Lee,amanda33@example.org,(417)963-7187,"81624 Amber Station Apt. 877
West Michelle, AS 47745",2020-12-19,True,Italian,83,4.3
100,Thomas Mayer,lorettaarias@example.com,365-635-8496x1978,"697 Thomas Forges
East Erika, OH 83783",2021-10-09,True,Mexican,70,3.2
